timestamp,tag_id,voltage
2025-07-01T06:58:01.667798,1,4.07
2025-07-01T06:58:01.755248,2,4.06
2025-07-01T06:58:01.822756,3,4.06
2025-07-01T06:58:01.898446,4,3.46
2025-07-01T06:58:01.976041,5,4.03
2025-07-01T06:58:02.439194,89,3.58
2025-07-01T06:58:03.673572,1,4.07
2025-07-01T06:58:03.746510,2,4.04
2025-07-01T06:58:03.830769,3,4.09
2025-07-01T06:58:03.904895,4,3.49
2025-07-01T06:58:03.978896,5,4.04
2025-07-01T06:58:04.445881,89,3.59
2025-07-01T06:58:05.678587,1,4.06
2025-07-01T06:58:05.752400,2,4.05
2025-07-01T06:58:05.825216,3,4.07
2025-07-01T06:58:05.900248,4,3.46
2025-07-01T06:58:05.984044,5,4.03
2025-07-01T06:58:06.442609,89,3.61
2025-07-01T06:58:07.674548,1,4.06
2025-07-01T06:58:07.752506,2,4.04
2025-07-01T06:58:07.825788,3,4.06
2025-07-01T06:58:07.909211,4,3.46
2025-07-01T06:58:07.984261,5,4.05
2025-07-01T06:58:08.442188,89,3.59
2025-07-01T06:58:09.596391,1,4.06
2025-07-01T06:58:09.756641,2,4.04
2025-07-01T06:58:09.830682,3,4.08
2025-07-01T06:58:09.832684,4,3.47
2025-07-01T06:58:09.990749,5,4.05
2025-07-01T06:58:10.375469,89,3.59
2025-07-01T06:58:11.604914,1,4.06
2025-07-01T06:58:11.683688,2,4.05
2025-07-01T06:58:11.760020,3,4.08
2025-07-01T06:58:11.837814,4,3.45
2025-07-01T06:58:11.915400,5,4.05
2025-07-01T06:58:12.376530,89,3.6
2025-07-01T06:58:13.604715,1,4.05
2025-07-01T06:58:13.679074,2,4.09
2025-07-01T06:58:13.756676,3,4.08
2025-07-01T06:58:13.833315,4,3.49
2025-07-01T06:58:13.918282,5,4.03
2025-07-01T06:58:14.371097,89,3.58
2025-07-01T06:58:15.605336,1,4.07
2025-07-01T06:58:15.681957,2,4.08
2025-07-01T06:58:15.759453,3,4.06
2025-07-01T06:58:15.835518,4,3.49
2025-07-01T06:58:15.910838,5,3.99
2025-07-01T06:58:16.381069,89,3.6
2025-07-01T06:58:17.614392,1,4.08
2025-07-01T06:58:17.681887,2,4.11
2025-07-01T06:58:17.766362,3,4.06
2025-07-01T06:58:17.841950,4,3.48
2025-07-01T06:58:17.918316,5,4.03
2025-07-01T06:58:19.610028,1,4.07
2025-07-01T06:58:19.684397,2,4.08
2025-07-01T06:58:19.769149,3,4.06
